,player1,player2,player3,Name,Year,Pos
0,Derek Anderson,,,Arizona Cardinals,2010,QB
1,Tim Hightower,,,Arizona Cardinals,2010,RB
2,Stephen Spach,,,Arizona Cardinals,2010,TE
3,Jay Feely,,,Arizona Cardinals,2010,K
4,Larry Fitzgerald,Steve Breaston,Early Doucet,Arizona Cardinals,2010,WR
5,Kevin Kolb,,,Arizona Cardinals,2011,QB
6,Anthony Sherman,,,Arizona Cardinals,2011,RB
7,Jeff King,,,Arizona Cardinals,2011,TE
8,Jay Feely,,,Arizona Cardinals,2011,K
9,Larry Fitzgerald,Andre Roberts,Early Doucet,Arizona Cardinals,2011,WR
10,John Skelton,,,Arizona Cardinals,2012,QB
11,Beanie Wells,,,Arizona Cardinals,2012,RB
12,Jeff King,,,Arizona Cardinals,2012,TE
13,Jay Feely,,,Arizona Cardinals,2012,K
14,Larry Fitzgerald,Andre Roberts,Early Doucet,Arizona Cardinals,2012,WR
15,Carson Palmer,,,Arizona Cardinals,2013,QB
16,Rashard Mendenhall,,,Arizona Cardinals,2013,RB
17,Jim Dray,,,Arizona Cardinals,2013,TE
18,Jay Feely,,,Arizona Cardinals,2013,K
19,Larry Fitzgerald,Michael Floyd,Andre Roberts,Arizona Cardinals,2013,WR
20,Drew Stanton,,,Arizona Cardinals,2014,QB
21,Andre Ellington,,,Arizona Cardinals,2014,RB
22,John Carlson,,,Arizona Cardinals,2014,TE
23,Chandler Catanzaro,,,Arizona Cardinals,2014,K
24,Michael Floyd,Larry Fitzgerald,John Brown,Arizona Cardinals,2014,WR
25,Carson Palmer,,,Arizona Cardinals,2015,QB
26,Chris Johnson,,,Arizona Cardinals,2015,RB
27,Darren Fells,,,Arizona Cardinals,2015,TE
28,Chandler Catanzaro,,,Arizona Cardinals,2015,K
29,Larry Fitzgerald,John Brown,Michael Floyd,Arizona Cardinals,2015,WR
30,Carson Palmer,,,Arizona Cardinals,2016,QB
31,David Johnson,,,Arizona Cardinals,2016,RB
32,Jermaine Gresham,,,Arizona Cardinals,2016,TE
33,Chandler Catanzaro,,,Arizona Cardinals,2016,K
34,Larry Fitzgerald,Michael Floyd,John Brown,Arizona Cardinals,2016,WR
35,Carson Palmer,,,Arizona Cardinals,2017,QB
36,Adrian Peterson,,,Arizona Cardinals,2017,RB
37,Jermaine Gresham,,,Arizona Cardinals,2017,TE
38,Phil Dawson,,,Arizona Cardinals,2017,K
39,Larry Fitzgerald,Jaron Brown,John Brown,Arizona Cardinals,2017,WR
40,Josh Rosen,,,Arizona Cardinals,2018,QB
41,David Johnson,,,Arizona Cardinals,2018,RB
42,Jermaine Gresham,,,Arizona Cardinals,2018,TE
43,Phil Dawson,,,Arizona Cardinals,2018,K
44,Larry Fitzgerald,Christian Kirk,Chad Williams,Arizona Cardinals,2018,WR
45,Kyler Murray,,,Arizona Cardinals,2019,QB
46,David Johnson,,,Arizona Cardinals,2019,RB
47,Charles Clay,,,Arizona Cardinals,2019,TE
48,,,,Arizona Cardinals,2019,K
49,Larry Fitzgerald,Christian Kirk,KeeSean Johnson,Arizona Cardinals,2019,WR
50,Kyler Murray,,,Arizona Cardinals,2020,QB
51,Kenyan Drake,,,Arizona Cardinals,2020,RB
52,Darrell Daniels,,,Arizona Cardinals,2020,TE
53,Zane Gonzalez,,,Arizona Cardinals,2020,K
54,DeAndre Hopkins,Larry Fitzgerald,Christian Kirk,Arizona Cardinals,2020,WR
55,Matt Ryan,,,Atlanta Falcons,2010,QB
56,Michael Turner,,,Atlanta Falcons,2010,RB
57,Tony Gonzalez,,,Atlanta Falcons,2010,TE
58,Matt Bryant,,,Atlanta Falcons,2010,K
59,Roddy White,Michael Jenkins,Harry Douglas,Atlanta Falcons,2010,WR
60,Matt Ryan,,,Atlanta Falcons,2011,QB
61,Antone Smith,,,Atlanta Falcons,2011,RB
62,Tony Gonzalez,,,Atlanta Falcons,2011,TE
63,Matt Bryant,,,Atlanta Falcons,2011,K
64,Roddy White,Julio Jones,Harry Douglas,Atlanta Falcons,2011,WR
65,Matt Ryan,,,Atlanta Falcons,2012,QB
66,Michael Turner,,,Atlanta Falcons,2012,RB
67,Tony Gonzalez,,,Atlanta Falcons,2012,TE
68,Matt Bryant,,,Atlanta Falcons,2012,K
69,Julio Jones,Roddy White,Harry Douglas,Atlanta Falcons,2012,WR
70,Matt Ryan,,,Atlanta Falcons,2013,QB
71,Steven Jackson,,,Atlanta Falcons,2013,RB
72,Tony Gonzalez,,,Atlanta Falcons,2013,TE
73,Matt Bryant,,,Atlanta Falcons,2013,K
74,Roddy White,Harry Douglas,Julio Jones,Atlanta Falcons,2013,WR
75,Matt Ryan,,,Atlanta Falcons,2014,QB
76,Steven Jackson,,,Atlanta Falcons,2014,RB
77,Levine Toilolo,,,Atlanta Falcons,2014,TE
78,Matt Bryant,,,Atlanta Falcons,2014,K
79,Julio Jones,Roddy White,Harry Douglas,Atlanta Falcons,2014,WR
80,Matt Ryan,,,Atlanta Falcons,2015,QB
81,Devonta Freeman,,,Atlanta Falcons,2015,RB
82,Levine Toilolo,,,Atlanta Falcons,2015,TE
83,Matt Bryant,,,Atlanta Falcons,2015,K
84,Julio Jones,Roddy White,Justin Hardy,Atlanta Falcons,2015,WR
85,Matt Ryan,,,Atlanta Falcons,2016,QB
86,Devonta Freeman,,,Atlanta Falcons,2016,RB
87,Levine Toilolo,,,Atlanta Falcons,2016,TE
88,Matt Bryant,,,Atlanta Falcons,2016,K
89,Mohamed Sanu,Julio Jones,Taylor Gabriel,Atlanta Falcons,2016,WR
90,Matt Ryan,,,Atlanta Falcons,2017,QB
91,Devonta Freeman,,,Atlanta Falcons,2017,RB
92,Levine Toilolo,,,Atlanta Falcons,2017,TE
93,Matt Bryant,,,Atlanta Falcons,2017,K
94,Julio Jones,Mohamed Sanu,Taylor Gabriel,Atlanta Falcons,2017,WR
95,Matt Ryan,,,Atlanta Falcons,2018,QB
96,Tevin Coleman,,,Atlanta Falcons,2018,RB
97,Logan Paulsen,,,Atlanta Falcons,2018,TE
98,Matt Bryant,,,Atlanta Falcons,2018,K
